N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1.0,삼성전자,74700.0,3000.0,+4.18%,100.0,73500.0,74700.0,73000.0
2.0,SK하이닉스,141300.0,5100.0,+3.74%,5000.0,138700.0,141300.0,137400.0
3.0,LG에너지솔루션,383500.0,7000.0,-1.79%,500.0,390500.0,397000.0,378500.0
4.0,삼성바이오로직스,770000.0,20000.0,+2.67%,2500.0,751000.0,771000.0,747000.0
5.0,삼성전자우,60300.0,1800.0,+3.08%,100.0,59600.0,60300.0,59300.0
6.0,현대차,181700.0,1500.0,+0.83%,5000.0,183000.0,183000.0,180100.0
7.0,셀트리온,176000.0,1300.0,+0.74%,1000.0,175900.0,180900.0,174900.0
8.0,기아,87600.0,300.0,+0.34%,5000.0,88100.0,88700.0,87000.0
9.0,POSCO홀딩스,414500.0,7500.0,-1.78%,5000.0,424000.0,429000.0,408000.0
10.0,NAVER,215500.0,1000.0,-0.46%,100.0,219000.0,221500.0,213500.0
11.0,LG화학,404500.0,7500.0,-1.82%,5000.0,415500.0,417000.0,400500.0
12.0,삼성SDI,374000.0,2500.0,-0.66%,5000.0,380000.0,384500.0,373500.0
13.0,카카오,57600.0,800.0,+1.41%,100.0,58100.0,58800.0,57100.0
14.0,삼성물산,117700.0,2300.0,+1.99%,100.0,116300.0,117800.0,116100.0
15.0,포스코퓨처엠,278500.0,6000.0,-2.11%,500.0,287000.0,291500.0,274000.0
16.0,KB금융,49500.0,100.0,+0.20%,5000.0,49500.0,49750.0,48900.0
17.0,신한지주,36800.0,450.0,+1.24%,5000.0,36650.0,37100.0,36400.0
18.0,현대모비스,199600.0,400.0,-0.20%,5000.0,202000.0,203000.0,198000.0
19.0,LG전자,91800.0,600.0,+0.66%,5000.0,92200.0,92400.0,90900.0
20.0,에코프로머티,216500.0,1000.0,+0.46%,500.0,214500.0,221500.0,202000.0
21.0,카카오뱅크,28400.0,100.0,-0.35%,5000.0,29000.0,29300.0,28400.0
22.0,HMM,19220.0,370.0,-1.89%,5000.0,19510.0,19650.0,19090.0
23.0,삼성에스디에스,166600.0,100.0,-0.06%,500.0,167900.0,170300.0,165100.0
24.0,메리츠금융지주,59800.0,100.0,+0.17%,500.0,59800.0,60700.0,59400.0
25.0,삼성생명,60800.0,700.0,+1.16%,500.0,60500.0,61000.0,60000.0
26.0,하나금융지주,41200.0,100.0,+0.24%,5000.0,41400.0,41550.0,40800.0
27.0,한국전력,18030.0,690.0,-3.69%,5000.0,18750.0,18760.0,17970.0
28.0,SK이노베이션,113600.0,3000.0,-2.57%,5000.0,116900.0,118100.0,112700.0
29.0,KT&G,85100.0,1200.0,+1.43%,5000.0,84300.0,85500.0,84300.0
30.0,LG,72200.0,100.0,+0.14%,5000.0,72500.0,73400.0,71200.0
31.0,SK,153800.0,2600.0,+1.72%,200.0,152000.0,154500.0,151100.0
32.0,삼성전기,147500.0,8600.0,+6.19%,5000.0,141100.0,148300.0,141000.0
33.0,삼성화재,231500.0,5500.0,-2.32%,500.0,237000.0,238000.0,231000.0
34.0,SK텔레콤,49450.0,50.0,+0.10%,100.0,49250.0,49500.0,49000.0
35.0,HD현대중공업,120000.0,4800.0,+4.17%,5000.0,115800.0,120000.0,115800.0
36.0,두산에너빌리티,15130.0,350.0,+2.37%,5000.0,14870.0,15130.0,14870.0
37.0,고려아연,458000.0,7500.0,+1.66%,5000.0,452500.0,461500.0,452000.0
38.0,우리금융지주,12620.0,150.0,+1.20%,5000.0,12510.0,12680.0,12480.0
39.0,크래프톤,193500.0,9000.0,+4.88%,100.0,186000.0,194500.0,186000.0
40.0,기업은행,11630.0,140.0,+1.22%,5000.0,11490.0,11630.0,11460.0
41.0,하이브,220000.0,500.0,+0.23%,500.0,221500.0,225000.0,217500.0
42.0,포스코인터내셔널,50200.0,400.0,-0.79%,5000.0,51200.0,51600.0,49350.0
43.0,KT,33750.0,50.0,-0.15%,5000.0,33950.0,33950.0,33600.0
44.0,포스코DX,56000.0,1200.0,-2.10%,500.0,58100.0,58300.0,55000.0
45.0,대한항공,23000.0,750.0,+3.37%,5000.0,22550.0,23000.0,22400.0
